"alpha","beta"
-5.91803825948471,-0.183349926935664
-5.94786698148931,-0.176275089735605
-5.95029936054657,-0.175790878959161
-5.98558173793855,-0.145937951706262
-5.90596444484683,-0.182862613329554
-5.93436819012941,-0.179118930459236
-5.95029936054657,-0.175790878959161
-5.93120700023523,-0.177246474153118
-5.92712636041247,-0.180152098471959
-5.93777837510671,-0.186749399932418
-5.96155538756489,-0.171736446192839
-5.94677478295309,-0.178967676447545
-5.9349333508799,-0.178693295379975
-5.98558173793855,-0.145937951706262
-5.9349333508799,-0.178693295379975
-5.9471521244197,-0.17898517003471
-5.97626146566829,-0.171774397441791
-5.93181569411438,-0.190917313921177
-5.9471521244197,-0.17898517003471
-5.93877460973438,-0.175354071455468
-5.93436819012941,-0.179118930459236
-5.94677478295309,-0.178967676447545
-5.9156532813957,-0.180878894171106
-5.93120700023523,-0.177246474153118
-5.92628794650988,-0.173948568323311
-5.97626146566829,-0.171774397441791
-5.95656038689982,-0.17797452274989
-5.90596444484683,-0.182862613329554
-5.9349333508799,-0.178693295379975
-5.95656038689982,-0.17797452274989
-5.93181569411438,-0.190917313921177
-5.94786698148931,-0.176275089735605
-5.9156532813957,-0.180878894171106
-5.91803825948471,-0.183349926935664
-5.9349333508799,-0.178693295379975
-5.83834619235291,-0.205932422767545
-5.96196369816067,-0.174404890612734
-5.97626146566829,-0.171774397441791
-5.9471521244197,-0.17898517003471
-5.9313909928361,-0.17896728371213
-5.83834619235291,-0.205932422767545
-5.96526306677188,-0.17015017047024
-5.92712636041247,-0.180152098471959
-5.96526306677188,-0.17015017047024
-5.94786698148931,-0.176275089735605
-5.84374260639351,-0.198789825842809
-5.96196369816067,-0.174404890612734
-5.92656824189317,-0.174823300842245
-5.94786698148931,-0.176275089735605
-5.96155538756489,-0.171736446192839
-5.91803825948471,-0.183349926935664
-5.98558173793855,-0.145937951706262
-5.9313909928361,-0.17896728371213
-5.93215976643646,-0.172427951596172
-5.90596444484683,-0.182862613329554
-5.84374260639351,-0.198789825842809
-5.92628794650988,-0.173948568323311
-5.9471521244197,-0.17898517003471
-5.92656824189317,-0.174823300842245
-5.93120700023523,-0.177246474153118
-5.92656824189317,-0.174823300842245
-5.96155538756489,-0.171736446192839
-5.92712636041247,-0.180152098471959
-5.94786698148931,-0.176275089735605
-5.9156532813957,-0.180878894171106
-5.97626146566829,-0.171774397441791
-5.83834619235291,-0.205932422767545
-5.93436819012941,-0.179118930459236
-5.94786698148931,-0.176275089735605
-5.91803825948471,-0.183349926935664
-5.93120700023523,-0.177246474153118
-5.92628794650988,-0.173948568323311
-5.97626146566829,-0.171774397441791
-5.91803825948471,-0.183349926935664
-5.96196369816067,-0.174404890612734
-5.93120700023523,-0.177246474153118
-5.98558173793855,-0.145937951706262
-5.94677478295309,-0.178967676447545
-5.94677478295309,-0.178967676447545
-5.98558173793855,-0.145937951706262
-5.93524473701309,-0.184120357042471
-5.93181569411438,-0.190917313921177
-5.84374260639351,-0.198789825842809
-5.94677478295309,-0.178967676447545
-5.84374260639351,-0.198789825842809
-5.96196369816067,-0.174404890612734
-5.9156532813957,-0.180878894171106
-5.95029936054657,-0.175790878959161
-5.9156532813957,-0.180878894171106
-5.94786698148931,-0.176275089735605
-5.94786698148931,-0.176275089735605
-5.93120700023523,-0.177246474153118
-5.97626146566829,-0.171774397441791
-5.9349333508799,-0.178693295379975
-5.94786698148931,-0.176275089735605
-5.96196369816067,-0.174404890612734
-5.9349333508799,-0.178693295379975
-5.93215976643646,-0.172427951596172
-5.92628794650988,-0.173948568323311
-5.93215976643646,-0.172427951596172
